Variable,Scenario,id,Pool,WEI+_Int,WEI_AbsInt,WEI+,WEI_Abs
Thermal,Connected,2018,EAPP,0.000316507,0.014894704,0.000205126,0.009653187
Thermal,Connected,1980,NAPP,0.001907059,0.145346675,0.001513584,0.115357921
Thermal,Connected,1981,NAPP,0.001885315,0.143487558,0.001496326,0.113882388
Thermal,Connected,1982,NAPP,0.001909868,0.145664942,0.001515813,0.115610521
Thermal,Connected,1983,NAPP,0.001932556,0.147462765,0.00153382,0.117037408
Thermal,Connected,1984,NAPP,0.001932665,0.147928658,0.001533907,0.117407175
Thermal,Connected,1985,NAPP,0.001875586,0.142272447,0.001488605,0.112917985
Thermal,Connected,1986,NAPP,0.001883155,0.143406574,0.001494612,0.113818113
Thermal,Connected,1987,NAPP,0.001905656,0.145335791,0.00151247,0.115349283
Thermal,Connected,1988,NAPP,0.001891542,0.14369324,0.001501268,0.114045633
Thermal,Connected,1989,NAPP,0.001920363,0.146771347,0.001524143,0.116488647
Thermal,Connected,1990,NAPP,0.001914191,0.146019711,0.001519244,0.115892092
Thermal,Connected,1991,NAPP,0.001901165,0.145097739,0.001508906,0.115160348
Thermal,Connected,1992,NAPP,0.001929957,0.14764568,0.001531758,0.117182582
Thermal,Connected,1993,NAPP,0.001931187,0.147664328,0.001532734,0.117197383
Thermal,Connected,1994,NAPP,0.001899381,0.144960601,0.00150749,0.115051505
Thermal,Connected,1995,NAPP,0.001914783,0.146031032,0.001519714,0.115901078
Thermal,Connected,1996,NAPP,0.001910678,0.145820129,0.001516456,0.11573369
Thermal,Connected,1997,NAPP,0.001934954,0.14799691,0.001535724,0.117461345
Thermal,Connected,1998,NAPP,0.001891649,0.143917025,0.001501353,0.114223245
Thermal,Connected,1999,NAPP,0.00192657,0.147234306,0.001529069,0.116856085
Thermal,Connected,2000,NAPP,0.001951151,0.149249227,0.001548578,0.118455277
Thermal,Connected,2001,NAPP,0.001944321,0.148468979,0.001543158,0.117836014
Thermal,Connected,2002,NAPP,0.001956285,0.149212343,0.001552654,0.118426003
Thermal,Connected,2003,NAPP,0.001949619,0.148805346,0.001547362,0.118102979
Thermal,Connected,2004,NAPP,0.001957928,0.149397251,0.001553957,0.11857276
Thermal,Connected,2005,NAPP,0.001953253,0.14892689,0.001550247,0.118199446
Thermal,Connected,2006,NAPP,0.00195187,0.148872703,0.001549149,0.118156439
Thermal,Connected,2007,NAPP,0.001929619,0.147638652,0.001531489,0.117177005
Thermal,Connected,2008,NAPP,0.001959434,0.149486899,0.001555152,0.118643911
Thermal,Connected,2009,NAPP,0.001951902,0.148909106,0.001549174,0.118185331
Thermal,Connected,2010,NAPP,0.001924755,0.147003388,0.001527629,0.116672812
Thermal,Connected,2011,NAPP,0.001943826,0.148297019,0.001542764,0.117699534
Thermal,Connected,2012,NAPP,0.001945724,0.148301927,0.001544271,0.117703429
Thermal,Connected,2013,NAPP,0.001928398,0.147350427,0.00153052,0.116948247
Thermal,Connected,2014,NAPP,0.001946011,0.148511707,0.001544499,0.117869926
